region,area,year,series,value
276,Germany,2020,Gross domestic expenditure on R&D: as a percentage of GDP,3.1
276,Germany,2020,Researchers per million inhabitants (FTE),5393.1
288,Ghana,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.4
288,Ghana,2010,Researchers per million inhabitants (FTE),38.0
288,Ghana,2015,Researchers per million inhabitants (FTE),89.1
300,Greece,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.6
300,Greece,2005,Researchers per million inhabitants (FTE),1745.5
300,Greece,2007,Gross domestic expenditure on R&D: as a percentage of GDP,0.6
300,Greece,2007,Researchers per million inhabitants (FTE),1889.7
300,Greece,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.6
300,Greece,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.0
300,Greece,2015,Researchers per million inhabitants (FTE),3256.0
300,Greece,2020,Gross domestic expenditure on R&D: as a percentage of GDP,1.5
300,Greece,2020,Researchers per million inhabitants (FTE),4010.3
304,Greenland,2004,Researchers per million inhabitants (FTE),701.7
316,Guam,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.3
316,Guam,2005,Researchers per million inhabitants (FTE),303.0
320,Guatemala,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.0
320,Guatemala,2005,Researchers per million inhabitants (FTE),29.6
320,Guatemala,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.0
320,Guatemala,2010,Researchers per million inhabitants (FTE),24.8
320,Guatemala,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.0
320,Guatemala,2015,Researchers per million inhabitants (FTE),22.2
320,Guatemala,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.1
320,Guatemala,2021,Researchers per million inhabitants (FTE),13.9
340,Honduras,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.0
340,Honduras,2015,Researchers per million inhabitants (FTE),22.4
340,Honduras,2019,Gross domestic expenditure on R&D: as a percentage of GDP,0.1
340,Honduras,2019,Researchers per million inhabitants (FTE),189.9
348,Hungary,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.9
348,Hungary,2005,Researchers per million inhabitants (FTE),1574.3
348,Hungary,2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.1
348,Hungary,2010,Researchers per million inhabitants (FTE),2149.8
348,Hungary,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.3
348,Hungary,2015,Researchers per million inhabitants (FTE),2589.1
348,Hungary,2020,Gross domestic expenditure on R&D: as a percentage of GDP,1.6
348,Hungary,2020,Researchers per million inhabitants (FTE),4357.9
352,Iceland,2005,Gross domestic expenditure on R&D: as a percentage of GDP,2.7
352,Iceland,2005,Researchers per million inhabitants (FTE),7305.3
352,Iceland,2009,Gross domestic expenditure on R&D: as a percentage of GDP,2.6
352,Iceland,2009,Researchers per million inhabitants (FTE),7926.0
352,Iceland,2015,Gross domestic expenditure on R&D: as a percentage of GDP,2.2
352,Iceland,2015,Researchers per million inhabitants (FTE),5887.9
352,Iceland,2018,Gross domestic expenditure on R&D: as a percentage of GDP,2.0
352,Iceland,2018,Researchers per million inhabitants (FTE),6088.3
352,Iceland,2020,Gross domestic expenditure on R&D: as a percentage of GDP,2.5
356,India,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.8
356,India,2005,Researchers per million inhabitants (FTE),134.9
356,India,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.8
356,India,2010,Researchers per million inhabitants (FTE),156.2
356,India,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.7
356,India,2015,Researchers per million inhabitants (FTE),216.0
356,India,2018,Gross domestic expenditure on R&D: as a percentage of GDP,0.7
356,India,2018,Researchers per million inhabitants (FTE),252.7
360,Indonesia,2001,Researchers per million inhabitants (FTE),199.2
360,Indonesia,2009,Gross domestic expenditure on R&D: as a percentage of GDP,0.1
360,Indonesia,2009,Researchers per million inhabitants (FTE),89.5
360,Indonesia,2013,Gross domestic expenditure on R&D: as a percentage of GDP,0.1
360,Indonesia,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.3
360,Indonesia,2020,Researchers per million inhabitants (FTE),395.7
364,Iran,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.6
364,Iran,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.3
364,Iran,2010,Researchers per million inhabitants (FTE),743.1
364,Iran,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.4
364,Iran,2015,Researchers per million inhabitants (FTE),825.3
364,Iran,2019,Gross domestic expenditure on R&D: as a percentage of GDP,0.8
364,Iran,2019,Researchers per million inhabitants (FTE),1659.5
368,Iraq,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.0
368,Iraq,2010,Researchers per million inhabitants (FTE),432.0
368,Iraq,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.0
368,Iraq,2015,Researchers per million inhabitants (FTE),65.8
368,Iraq,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.0
368,Iraq,2021,Researchers per million inhabitants (FTE),169.9
372,Ireland,2005,Gross domestic expenditure on R&D: as a percentage of GDP,1.2
372,Ireland,2005,Researchers per million inhabitants (FTE),2798.0
372,Ireland,2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.6
372,Ireland,2010,Researchers per million inhabitants (FTE),3112.6
372,Ireland,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.2
372,Ireland,2015,Researchers per million inhabitants (FTE),5270.7
372,Ireland,2020,Gross domestic expenditure on R&D: as a percentage of GDP,1.2
372,Ireland,2020,Researchers per million inhabitants (FTE),4769.1
376,Israel,2005,Gross domestic expenditure on R&D: as a percentage of GDP,3.9
376,Israel,2010,Gross domestic expenditure on R&D: as a percentage of GDP,3.9
376,Israel,2015,Gross domestic expenditure on R&D: as a percentage of GDP,4.2
376,Israel,2020,Gross domestic expenditure on R&D: as a percentage of GDP,5.4
380,Italy,2005,Gross domestic expenditure on R&D: as a percentage of GDP,1.0
380,Italy,2005,Researchers per million inhabitants (FTE),1415.4
380,Italy,2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.2
380,Italy,2010,Researchers per million inhabitants (FTE),1743.3
380,Italy,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.3
380,Italy,2015,Researchers per million inhabitants (FTE),2077.9
380,Italy,2020,Gross domestic expenditure on R&D: as a percentage of GDP,1.5
380,Italy,2020,Researchers per million inhabitants (FTE),2671.8
392,Japan,2005,Gross domestic expenditure on R&D: as a percentage of GDP,3.1
392,Japan,2005,Researchers per million inhabitants (FTE),5303.9
392,Japan,2010,Gross domestic expenditure on R&D: as a percentage of GDP,3.1
392,Japan,2010,Researchers per million inhabitants (FTE),5103.6
392,Japan,2015,Gross domestic expenditure on R&D: as a percentage of GDP,3.2
392,Japan,2015,Researchers per million inhabitants (FTE),5173.0
392,Japan,2020,Gross domestic expenditure on R&D: as a percentage of GDP,3.3
392,Japan,2020,Researchers per million inhabitants (FTE),5454.7
400,Jordan,2008,Gross domestic expenditure on R&D: as a percentage of GDP,0.4
400,Jordan,2015,Researchers per million inhabitants (FTE),252.4
400,Jordan,2016,Gross domestic expenditure on R&D: as a percentage of GDP,0.7
400,Jordan,2016,Researchers per million inhabitants (FTE),592.4
400,Jordan,2017,Researchers per million inhabitants (FTE),596.0
398,Kazakhstan,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.3
398,Kazakhstan,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.2
398,Kazakhstan,2010,Researchers per million inhabitants (FTE),370.5
398,Kazakhstan,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.2
398,Kazakhstan,2015,Researchers per million inhabitants (FTE),777.1
398,Kazakhstan,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.1
398,Kazakhstan,2021,Researchers per million inhabitants (FTE),629.9
404,Kenya,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.7
404,Kenya,2010,Researchers per million inhabitants (FTE),221.4
414,Kuwait,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.1
414,Kuwait,2005,Researchers per million inhabitants (FTE),169.1
414,Kuwait,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.1
414,Kuwait,2010,Researchers per million inhabitants (FTE),136.0
414,Kuwait,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.1
414,Kuwait,2015,Researchers per million inhabitants (FTE),395.8
414,Kuwait,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.2
414,Kuwait,2020,Researchers per million inhabitants (FTE),173.5
417,Kyrgyzstan,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.2
417,Kyrgyzstan,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.2
417,Kyrgyzstan,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.1
417,Kyrgyzstan,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.1
418,Laos,2002,Researchers per million inhabitants (FTE),15.8
428,Latvia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.5
428,Latvia,2005,Researchers per million inhabitants (FTE),1457.4
428,Latvia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.6
428,Latvia,2010,Researchers per million inhabitants (FTE),1838.7
428,Latvia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.6
428,Latvia,2015,Researchers per million inhabitants (FTE),1808.6
428,Latvia,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.7
428,Latvia,2020,Researchers per million inhabitants (FTE),2158.8
426,Lesotho,2004,Researchers per million inhabitants (FTE),10.0
426,Lesotho,2009,Gross domestic expenditure on R&D: as a percentage of GDP,0.0
426,Lesotho,2009,Researchers per million inhabitants (FTE),23.0
426,Lesotho,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.1
426,Lesotho,2015,Researchers per million inhabitants (FTE),24.1
440,Lithuania,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.7
440,Lithuania,2005,Researchers per million inhabitants (FTE),2283.6
440,Lithuania,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.8
440,Lithuania,2010,Researchers per million inhabitants (FTE),2752.7
440,Lithuania,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.0
440,Lithuania,2015,Researchers per million inhabitants (FTE),2785.6
440,Lithuania,2020,Gross domestic expenditure on R&D: as a percentage of GDP,1.1
440,Lithuania,2020,Researchers per million inhabitants (FTE),3728.5
442,Luxembourg,2005,Gross domestic expenditure on R&D: as a percentage of GDP,1.6
442,Luxembourg,2005,Researchers per million inhabitants (FTE),4864.1
442,Luxembourg,2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.4
442,Luxembourg,2010,Researchers per million inhabitants (FTE),5145.0
442,Luxembourg,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.3
442,Luxembourg,2015,Researchers per million inhabitants (FTE),4604.9
442,Luxembourg,2020,Gross domestic expenditure on R&D: as a percentage of GDP,1.1
442,Luxembourg,2020,Researchers per million inhabitants (FTE),4920.3
450,Madagascar,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.2
450,Madagascar,2005,Researchers per million inhabitants (FTE),47.9
450,Madagascar,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.1
450,Madagascar,2010,Researchers per million inhabitants (FTE),52.0
450,Madagascar,2011,Gross domestic expenditure on R&D: as a percentage of GDP,0.1
450,Madagascar,2011,Researchers per million inhabitants (FTE),50.9
450,Madagascar,2014,Gross domestic expenditure on R&D: as a percentage of GDP,0.0
450,Madagascar,2017,Gross domestic expenditure on R&D: as a percentage of GDP,0.0
450,Madagascar,2017,Researchers per million inhabitants (FTE),30.6
450,Madagascar,2018,Researchers per million inhabitants (FTE),34.0
454,Malawi,2010,Researchers per million inhabitants (FTE),50.4
458,Malaysia,2004,Researchers per million inhabitants (FTE),502.9
458,Malaysia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.0
458,Malaysia,2010,Researchers per million inhabitants (FTE),1462.5
458,Malaysia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.3
458,Malaysia,2015,Researchers per million inhabitants (FTE),2308.0
458,Malaysia,2020,Gross domestic expenditure on R&D: as a percentage of GDP,1.0
458,Malaysia,2020,Researchers per million inhabitants (FTE),740.8
466,Mali,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.6
466,Mali,2010,Researchers per million inhabitants (FTE),29.4
466,Mali,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.3
466,Mali,2015,Researchers per million inhabitants (FTE),30.8
466,Mali,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.2
466,Mali,2021,Researchers per million inhabitants (FTE),30.3
470,Malta,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.5
470,Malta,2005,Researchers per million inhabitants (FTE),1183.7
470,Malta,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.6
470,Malta,2010,Researchers per million inhabitants (FTE),1417.0
470,Malta,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.7
470,Malta,2015,Researchers per million inhabitants (FTE),1891.3
470,Malta,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.7
470,Malta,2020,Researchers per million inhabitants (FTE),2296.5
478,Mauritania,2018,Gross domestic expenditure on R&D: as a percentage of GDP,0.0
480,Mauritius,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.4
480,Mauritius,2012,Gross domestic expenditure on R&D: as a percentage of GDP,0.2
480,Mauritius,2012,Researchers per million inhabitants (FTE),181.8
480,Mauritius,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.4
480,Mauritius,2021,Researchers per million inhabitants (FTE),568.0
484,Mexico,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.4
484,Mexico,2005,Researchers per million inhabitants (FTE),414.3
484,Mexico,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.5
484,Mexico,2010,Researchers per million inhabitants (FTE),337.4
484,Mexico,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.4
484,Mexico,2015,Researchers per million inhabitants (FTE),281.3
484,Mexico,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.3
484,Mexico,2020,Researchers per million inhabitants (FTE),348.8
492,Monaco,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.0
492,Monaco,2005,Researchers per million inhabitants (FTE),295.5
496,Mongolia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.2
496,Mongolia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.2
496,Mongolia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.2
496,Mongolia,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.1
496,Mongolia,2020,Researchers per million inhabitants (FTE),331.0
499,Montenegro,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.9
499,Montenegro,2007,Gross domestic expenditure on R&D: as a percentage of GDP,1.1
499,Montenegro,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.4
499,Montenegro,2015,Researchers per million inhabitants (FTE),834.6
499,Montenegro,2019,Gross domestic expenditure on R&D: as a percentage of GDP,0.4
499,Montenegro,2019,Researchers per million inhabitants (FTE),746.8
504,Morocco,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.7
504,Morocco,2010,Researchers per million inhabitants (FTE),719.8
504,Morocco,2014,Researchers per million inhabitants (FTE),1024.4
504,Morocco,2016,Researchers per million inhabitants (FTE),1073.5
508,Mozambique,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.4
508,Mozambique,2010,Researchers per million inhabitants (FTE),38.8
508,Mozambique,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.3
508,Mozambique,2015,Researchers per million inhabitants (FTE),43.0
104,Myanmar,2002,Researchers per million inhabitants (FTE),17.5
104,Myanmar,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.1
104,Myanmar,2021,Researchers per million inhabitants (FTE),18.6
516,Namibia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.1
516,Namibia,2014,Gross domestic expenditure on R&D: as a percentage of GDP,0.3
516,Namibia,2014,Researchers per million inhabitants (FTE),149.5
524,Nepal,2002,Researchers per million inhabitants (FTE),60.7
524,Nepal,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.3
528,Netherlands,2005,Gross domestic expenditure on R&D: as a percentage of GDP,1.8
528,Netherlands,2005,Researchers per million inhabitants (FTE),2923.8
528,Netherlands,2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.7
528,Netherlands,2010,Researchers per million inhabitants (FTE),3219.0
528,Netherlands,2015,Gross domestic expenditure on R&D: as a percentage of GDP,2.1
528,Netherlands,2015,Researchers per million inhabitants (FTE),4928.9
528,Netherlands,2020,Gross domestic expenditure on R&D: as a percentage of GDP,2.3
528,Netherlands,2020,Researchers per million inhabitants (FTE),5911.7
554,New Zealand,2005,Gross domestic expenditure on R&D: as a percentage of GDP,1.1
554,New Zealand,2005,Researchers per million inhabitants (FTE),3140.2
554,New Zealand,2009,Gross domestic expenditure on R&D: as a percentage of GDP,1.3
554,New Zealand,2009,Researchers per million inhabitants (FTE),3724.0
554,New Zealand,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.2
554,New Zealand,2015,Researchers per million inhabitants (FTE),5417.7
554,New Zealand,2019,Gross domestic expenditure on R&D: as a percentage of GDP,1.4
554,New Zealand,2019,Researchers per million inhabitants (FTE),5854.0
558,Nicaragua,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.1
562,Niger,2005,Researchers per million inhabitants (FTE),7.4
562,Niger,2013,Researchers per million inhabitants (FTE),26.5
566,Nigeria,2007,Gross domestic expenditure on R&D: as a percentage of GDP,0.1
566,Nigeria,2007,Researchers per million inhabitants (FTE),38.8
807,North Macedonia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.2
807,North Macedonia,2005,Researchers per million inhabitants (FTE),540.2
807,North Macedonia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.2
807,North Macedonia,2010,Researchers per million inhabitants (FTE),532.1
807,North Macedonia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.4
807,North Macedonia,2015,Researchers per million inhabitants (FTE),858.5
807,North Macedonia,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.4
807,North Macedonia,2021,Researchers per million inhabitants (FTE),752.8
578,Norway,2005,Gross domestic expenditure on R&D: as a percentage of GDP,1.5
578,Norway,2005,Researchers per million inhabitants (FTE),4576.6
578,Norway,2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.7
578,Norway,2010,Researchers per million inhabitants (FTE),5413.8
578,Norway,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.9
578,Norway,2015,Researchers per million inhabitants (FTE),5891.0
578,Norway,2020,Gross domestic expenditure on R&D: as a percentage of GDP,2.3
578,Norway,2020,Researchers per million inhabitants (FTE),6698.8
512,Oman,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.2
512,Oman,2015,Researchers per million inhabitants (FTE),212.5
512,Oman,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.3
512,Oman,2021,Researchers per million inhabitants (FTE),284.4
586,Pakistan,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.4
586,Pakistan,2005,Researchers per million inhabitants (FTE),79.2
586,Pakistan,2009,Gross domestic expenditure on R&D: as a percentage of GDP,0.4
586,Pakistan,2009,Researchers per million inhabitants (FTE),157.3
586,Pakistan,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.2
586,Pakistan,2015,Researchers per million inhabitants (FTE),278.9
586,Pakistan,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.2
586,Pakistan,2021,Researchers per million inhabitants (FTE),422.8
591,Panama,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.2
591,Panama,2005,Researchers per million inhabitants (FTE),103.3
591,Panama,2009,Gross domestic expenditure on R&D: as a percentage of GDP,0.1
591,Panama,2009,Researchers per million inhabitants (FTE),110.1
591,Panama,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.1
591,Panama,2013,Gross domestic expenditure on R&D: as a percentage of GDP,0.1
591,Panama,2013,Researchers per million inhabitants (FTE),39.1
591,Panama,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.1
591,Panama,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.2
598,Papua New Guinea,2016,Gross domestic expenditure on R&D: as a percentage of GDP,0.0
598,Papua New Guinea,2016,Researchers per million inhabitants (FTE),35.5
600,Paraguay,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.1
600,Paraguay,2005,Researchers per million inhabitants (FTE),72.0
600,Paraguay,2008,Gross domestic expenditure on R&D: as a percentage of GDP,0.0
600,Paraguay,2008,Researchers per million inhabitants (FTE),76.6
600,Paraguay,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.1
600,Paraguay,2015,Researchers per million inhabitants (FTE),182.7
600,Paraguay,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.2
600,Paraguay,2020,Researchers per million inhabitants (FTE),129.8
604,Peru,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.1
604,Peru,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.2
608,Philippines,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.1
608,Philippines,2005,Researchers per million inhabitants (FTE),79.9
608,Philippines,2009,Gross domestic expenditure on R&D: as a percentage of GDP,0.1
608,Philippines,2009,Researchers per million inhabitants (FTE),81.2
608,Philippines,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.2
608,Philippines,2015,Researchers per million inhabitants (FTE),105.7
608,Philippines,2018,Gross domestic expenditure on R&D: as a percentage of GDP,0.3
608,Philippines,2018,Researchers per million inhabitants (FTE),173.6
616,Poland,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.6
616,Poland,2005,Researchers per million inhabitants (FTE),1620.1
616,Poland,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.7
616,Poland,2010,Researchers per million inhabitants (FTE),1683.1
616,Poland,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.0
616,Poland,2015,Researchers per million inhabitants (FTE),2171.6
616,Poland,2020,Gross domestic expenditure on R&D: as a percentage of GDP,1.4
616,Poland,2020,Researchers per million inhabitants (FTE),3288.2
620,Portugal,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.8
620,Portugal,2005,Researchers per million inhabitants (FTE),2010.4
620,Portugal,2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.5
620,Portugal,2010,Researchers per million inhabitants (FTE),3918.8
620,Portugal,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.2
620,Portugal,2015,Researchers per million inhabitants (FTE),3729.8
620,Portugal,2020,Gross domestic expenditure on R&D: as a percentage of GDP,1.6
620,Portugal,2020,Researchers per million inhabitants (FTE),5214.8
630,Puerto Rico,2009,Gross domestic expenditure on R&D: as a percentage of GDP,0.5
630,Puerto Rico,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.4
630,Puerto Rico,2015,Researchers per million inhabitants (FTE),348.4
634,Qatar,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.5
634,Qatar,2015,Researchers per million inhabitants (FTE),584.0
634,Qatar,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.7
634,Qatar,2021,Researchers per million inhabitants (FTE),902.6
410,South Korea,2005,Gross domestic expenditure on R&D: as a percentage of GDP,2.5
410,South Korea,2005,Researchers per million inhabitants (FTE),3692.2
410,South Korea,2010,Gross domestic expenditure on R&D: as a percentage of GDP,3.3
410,South Korea,2010,Researchers per million inhabitants (FTE),5330.8
410,South Korea,2015,Gross domestic expenditure on R&D: as a percentage of GDP,4.0
410,South Korea,2015,Researchers per million inhabitants (FTE),7013.5
410,South Korea,2020,Gross domestic expenditure on R&D: as a percentage of GDP,4.8
410,South Korea,2020,Researchers per million inhabitants (FTE),8713.6
498,Moldova,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.4
498,Moldova,2005,Researchers per million inhabitants (FTE),719.5
498,Moldova,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.4
498,Moldova,2010,Researchers per million inhabitants (FTE),760.9
498,Moldova,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.3
498,Moldova,2015,Researchers per million inhabitants (FTE),953.4
498,Moldova,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.2
498,Moldova,2021,Researchers per million inhabitants (FTE),788.1
642,Romania,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.4
642,Romania,2005,Researchers per million inhabitants (FTE),1071.9
642,Romania,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.4
642,Romania,2010,Researchers per million inhabitants (FTE),966.2
642,Romania,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.5
642,Romania,2015,Researchers per million inhabitants (FTE),876.2
642,Romania,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.5
642,Romania,2020,Researchers per million inhabitants (FTE),952.9
643,Russia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,1.1
643,Russia,2005,Researchers per million inhabitants (FTE),3233.6
643,Russia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.1
643,Russia,2010,Researchers per million inhabitants (FTE),3081.1
643,Russia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.1
643,Russia,2015,Researchers per million inhabitants (FTE),3098.1
643,Russia,2020,Gross domestic expenditure on R&D: as a percentage of GDP,1.1
643,Russia,2020,Researchers per million inhabitants (FTE),2721.7
646,Rwanda,2009,Researchers per million inhabitants (FTE),12.6
646,Rwanda,2013,Researchers per million inhabitants (FTE),15.5
646,Rwanda,2019,Gross domestic expenditure on R&D: as a percentage of GDP,0.8
646,Rwanda,2019,Researchers per million inhabitants (FTE),58.8
654,Saint Helena,2000,Researchers per million inhabitants (FTE),330.6
682,Saudi Arabia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.0
682,Saudi Arabia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.9
682,Saudi Arabia,2013,Gross domestic expenditure on R&D: as a percentage of GDP,0.8
682,Saudi Arabia,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.5
682,Saudi Arabia,2021,Researchers per million inhabitants (FTE),700.6
686,Senegal,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.4
686,Senegal,2010,Researchers per million inhabitants (FTE),369.1
686,Senegal,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.6
686,Senegal,2015,Researchers per million inhabitants (FTE),564.3
688,Serbia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.4
688,Serbia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.7
688,Serbia,2010,Researchers per million inhabitants (FTE),1514.8
688,Serbia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.8
688,Serbia,2015,Researchers per million inhabitants (FTE),2071.2
688,Serbia,2021,Gross domestic expenditure on R&D: as a percentage of GDP,1.0
688,Serbia,2021,Researchers per million inhabitants (FTE),2230.9
690,Seychelles,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.3
690,Seychelles,2005,Researchers per million inhabitants (FTE),146.6
690,Seychelles,2016,Gross domestic expenditure on R&D: as a percentage of GDP,0.2
702,Singapore,2005,Gross domestic expenditure on R&D: as a percentage of GDP,2.1
702,Singapore,2005,Researchers per million inhabitants (FTE),5576.9
702,Singapore,2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.9
702,Singapore,2010,Researchers per million inhabitants (FTE),6241.9
702,Singapore,2015,Gross domestic expenditure on R&D: as a percentage of GDP,2.2
702,Singapore,2015,Researchers per million inhabitants (FTE),7006.6
702,Singapore,2019,Gross domestic expenditure on R&D: as a percentage of GDP,1.9
702,Singapore,2019,Researchers per million inhabitants (FTE),7286.9
